key,category,material_name,dim,best_param1,best_param2,best_energy_eV_per_atom,gp_uncertainty_eV,n_qe_total,n_iterations,converged,lit_pbe_param1,lit_pbe_param2,exp_param1,exp_param2,abs_error_param1,pct_error_param1,abs_error_param2,pct_error_param2,report_file
bulk_al,FCC metals,Al (FCC),1,4.04937,,-537.46053091,1.12e-06,4,1,True,4.042,,4.046,,0.007369999999999877,0.1823354774863898,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_al_report.txt
bulk_cu,FCC metals,Cu (FCC),1,3.621795,,-2899.33060932,1.385e-05,6,1,True,3.634,,3.615,,0.0122049999999998,0.33585580627407263,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_cu_generated_report.txt
bulk_ni,FCC metals,Ni (FCC),1,3.52,,-4670.57027851,5.89e-06,6,1,True,3.524,,3.524,,0.0040000000000000036,0.11350737797956878,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_ni_report.txt
bulk_ag,FCC metals,Ag (FCC),1,4.14948,,-3909.31545987,1.95e-06,6,1,True,4.154,,4.085,,0.0045200000000003016,0.10881078478575594,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_ag_report.txt
bulk_au,FCC metals,Au (FCC),1,4.14595,,-3737.12003209,3.23e-06,6,1,True,4.174,,4.078,,0.028050000000000352,0.6720172496406409,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_au_report.txt
bulk_fe_bcc,BCC metals,Fe (BCC),1,2.855777,,-4479.91006871,0.00036779,6,1,True,2.832,,2.87,,0.023776999999999937,0.8395833333333311,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_fe_report.txt
bulk_mo_bcc,BCC metals,Mo (BCC),1,3.15,,-1865.96306827,3.68e-06,6,1,True,3.168,,3.147,,0.018000000000000238,0.5681818181818257,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_mo_report.txt
bulk_w_bcc,BCC metals,W (BCC),1,3.196028,,-2165.25263068,0.0002069,6,1,True,3.185,,3.165,,0.011028000000000038,0.3462480376766103,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_w_report.txt
bulk_si,Semiconductors,Si (diamond),1,5.481979,,-155.37818111,1.78e-06,4,1,True,5.468,,5.431,,0.013978999999999964,0.2556510607168977,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_si_generated_report.txt
bulk_ge,Semiconductors,Ge (diamond),1,5.734928,,-2906.86968118,5.94e-06,4,1,True,5.766,,5.658,,0.03107199999999999,0.5388831078737424,,,/mnt/d/Rifat_kh/inverse_active/outputs/reports/bulk_ge_report.txt
