rank,candidate_id,predicted_value,uncertainty,failure_risk,base_lcb_score,failure_penalty,acquisition_score,rank_without_failure_risk,rank_with_failure_risk,rank_shift,risk_flag,selection_reason,material_id,failure_label
1,81,0.0,0.0,0.024125622679910697,0.0,0.024125622679910697,0.024125622679910697,2,1,1,low,ranked by failure-aware LCB soft penalty,aln_2d,success
2,82,0.0,0.0,0.024125622679910697,0.0,0.024125622679910697,0.024125622679910697,3,2,1,low,ranked by failure-aware LCB soft penalty,aln_2d,success
3,83,0.0,0.0,0.024125622679910697,0.0,0.024125622679910697,0.024125622679910697,4,3,1,low,ranked by failure-aware LCB soft penalty,aln_2d,success
4,84,0.0,0.0,0.024125622679910697,0.0,0.024125622679910697,0.024125622679910697,5,4,1,low,ranked by failure-aware LCB soft penalty,aln_2d,success
5,117,0.0,0.0,0.025853630305998854,0.0,0.025853630305998854,0.025853630305998854,6,5,1,low,ranked by failure-aware LCB soft penalty,bulk_au,success
6,118,0.0,0.0,0.025853630305998854,0.0,0.025853630305998854,0.025853630305998854,7,6,1,low,ranked by failure-aware LCB soft penalty,bulk_au,success
7,119,0.0,0.0,0.025853630305998854,0.0,0.025853630305998854,0.025853630305998854,8,7,1,low,ranked by failure-aware LCB soft penalty,bulk_au,success
8,120,0.0,0.0,0.025853630305998854,0.0,0.025853630305998854,0.025853630305998854,9,8,1,low,ranked by failure-aware LCB soft penalty,bulk_au,success
9,121,0.0,0.0,0.025853630305998854,0.0,0.025853630305998854,0.025853630305998854,10,9,1,low,ranked by failure-aware LCB soft penalty,bulk_au,success
10,122,0.0,0.0,0.025853630305998854,0.0,0.025853630305998854,0.025853630305998854,11,10,1,low,ranked by failure-aware LCB soft penalty,bulk_au,success
11,135,0.0,0.0,0.058683712020475065,0.0,0.058683712020475065,0.058683712020475065,12,11,1,low,ranked by failure-aware LCB soft penalty,bulk_cspbi3,success
12,136,0.0,0.0,0.058683712020475065,0.0,0.058683712020475065,0.058683712020475065,13,12,1,low,ranked by failure-aware LCB soft penalty,bulk_cspbi3,success
13,137,0.0,0.0,0.058683712020475065,0.0,0.058683712020475065,0.058683712020475065,14,13,1,low,ranked by failure-aware LCB soft penalty,bulk_cspbi3,success
14,138,0.0,0.0,0.058683712020475065,0.0,0.058683712020475065,0.058683712020475065,15,14,1,low,ranked by failure-aware LCB soft penalty,bulk_cspbi3,success
15,201,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,16,15,1,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
16,202,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,17,16,1,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
17,203,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,18,17,1,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
18,205,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,20,18,2,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
19,206,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,21,19,2,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
20,207,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,22,20,2,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
21,208,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,23,21,2,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
22,209,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,24,22,2,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
23,210,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,25,23,2,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
24,211,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,26,24,2,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
25,213,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,28,25,3,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
26,215,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,30,26,4,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
27,216,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,31,27,4,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
28,217,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,32,28,4,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
29,218,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,33,29,4,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
30,219,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,34,30,4,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
31,220,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,35,31,4,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
32,222,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,37,32,5,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
33,223,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,38,33,5,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
34,225,0.0,0.0,0.13357801323360807,0.0,0.13357801323360807,0.13357801323360807,40,34,6,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
35,204,0.0,0.0,0.14763990548281458,0.0,0.14763990548281458,0.14763990548281458,19,35,-16,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
36,212,0.0,0.0,0.14763990548281458,0.0,0.14763990548281458,0.14763990548281458,27,36,-9,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
37,214,0.0,0.0,0.14763990548281458,0.0,0.14763990548281458,0.14763990548281458,29,37,-8,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
38,221,0.0,0.0,0.14763990548281458,0.0,0.14763990548281458,0.14763990548281458,36,38,-2,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
39,224,0.0,0.0,0.14763990548281458,0.0,0.14763990548281458,0.14763990548281458,39,39,0,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
40,226,0.0,0.0,0.14763990548281458,0.0,0.14763990548281458,0.14763990548281458,41,40,1,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
41,411,0.0,0.0,0.15209874024189185,0.0,0.15209874024189185,0.15209874024189185,45,41,4,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
42,412,0.0,0.0,0.15209874024189185,0.0,0.15209874024189185,0.15209874024189185,46,42,4,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
43,413,0.0,0.0,0.15209874024189185,0.0,0.15209874024189185,0.15209874024189185,47,43,4,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
44,414,0.0,0.0,0.15209874024189185,0.0,0.15209874024189185,0.15209874024189185,48,44,4,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
45,415,0.0,0.0,0.15209874024189185,0.0,0.15209874024189185,0.15209874024189185,49,45,4,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
46,416,0.0,0.0,0.15209874024189185,0.0,0.15209874024189185,0.15209874024189185,50,46,4,elevated,ranked by failure-aware LCB soft penalty,bulk_ni,success
47,241,0.0,0.0,0.40069919580231295,0.0,0.40069919580231295,0.40069919580231295,42,47,-5,elevated,ranked by failure-aware LCB soft penalty,bulk_li2nav2po43,success
48,242,0.0,0.0,0.40069919580231295,0.0,0.40069919580231295,0.40069919580231295,43,48,-5,elevated,ranked by failure-aware LCB soft penalty,bulk_li2nav2po43,success
49,243,0.0,0.0,0.40069919580231295,0.0,0.40069919580231295,0.40069919580231295,44,49,-5,elevated,ranked by failure-aware LCB soft penalty,bulk_li2nav2po43,success
50,0,0.0,0.0,0.803412459754468,0.0,0.803412459754468,0.803412459754468,1,50,-49,elevated,ranked by failure-aware LCB soft penalty,h2_r0p620000,success
