system_id,parent_system_id,source,label,feature_version,final_energy_ry,final_energy_ev,delta_e_ry,delta_e_ev,delta_e_meV,energy_per_atom_ry,n_atoms,ionic_steps,scf_iterations_total,max_force_ry_per_bohr,z_metal,n_ligands,ml_mean_angstrom,ml_std_angstrom,ml_min_angstrom,ml_max_angstrom,lml_angle_mean_deg,lml_angle_std_deg,co_mean_angstrom,co_std_angstrom,cm_eig_00,cm_eig_01,cm_eig_02,cm_eig_03,cm_eig_04,cm_eig_05,cm_eig_06,cm_eig_07,cm_eig_08,cm_eig_09,cm_eig_10,cm_eig_11,cm_eig_12,cm_eig_13,cm_eig_14,cm_eig_15,cm_eig_16,cm_eig_17,cm_eig_18,cm_eig_19,cm_eig_20
cr_co6,cr_co6,primary,validated,0.1.0,-536.0152471419,-7292.858961858477,,,,-41.23194209,13,7,182,3.7e-05,24.000000,6.000000,1.900146,0.000000,1.900146,1.900146,108.000000,36.000000,1.153977,0.000000,1093.525233,164.614757,81.761203,81.761203,81.761203,67.082008,67.082008,11.822035,8.663001,8.663001,8.663001,6.814582,6.814582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fe_co5,fe_co5,primary,validated,0.1.0,-629.6772928617,-8567.19601319391,,,,-57.24339026,11,10,254,0.000109,26.000000,5.000000,1.801269,0.001030,1.800410,1.802531,107.999156,27.493245,1.154464,0.001407,1300.655347,150.661159,81.059582,78.072244,78.071681,65.119400,11.155307,8.501151,8.258914,8.258307,6.306296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ferrocene,ferrocene,primary,validated,0.1.0,-525.3618442398,-7147.912031256892,,,,-25.01723068,21,15,319,3.3e-05,26.000000,10.000000,2.043736,0.000022,2.043714,2.043774,98.800001,43.164786,,,1296.708153,117.485649,69.808752,30.756820,30.756241,25.118797,25.118254,6.910169,6.910066,6.363556,6.363355,-0.772946,-0.772945,-0.758683,-0.758679,-0.341736,-0.341728,-0.277236,-0.277226,-0.178264,0.006069
ni_co4,ni_co4,primary,validated,0.1.0,-583.5691160575,-7939.862309135215,,,,-64.84101290,9,7,238,2.3e-05,28.000000,4.000000,1.811869,0.000000,1.811869,1.811869,109.471221,0.000000,1.150351,0.000000,1528.494051,134.394267,77.016315,77.016315,77.016314,10.126323,7.960701,7.960701,7.960701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cr_co6__axial_stretch__-0.05,cr_co6,candidate,usable_with_caution,0.1.0,-536.0152471421,-7292.858961861199,-0.0000000002,-0.00000000,-0.0000,-41.23194209,13,11,232,0.000107,24.000000,6.000000,1.900133,0.000006,1.900125,1.900137,108.000000,36.000000,1.153986,0.000000,1093.525818,164.614377,81.760893,81.760893,81.760795,67.081710,67.081607,11.822370,8.663263,8.663263,8.663260,6.814793,6.814772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cr_co6__co_dist__-0.04,cr_co6,candidate,usable_with_caution,0.1.0,-536.0152176528,-7292.858560638832,0.0000294891,0.00040122,0.4012,-41.23193982,13,7,188,0.00015,24.000000,6.000000,1.900178,0.000000,1.900178,1.900178,108.000000,36.000000,1.153967,0.000000,1093.523609,164.615222,81.761699,81.761699,81.761699,67.082592,67.082592,11.821659,8.662735,8.662735,8.662735,6.814419,6.814419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cr_co6__mc_dist__+0.06,cr_co6,candidate,usable_with_caution,0.1.0,-536.0152246952,-7292.858656455566,0.0000224467,0.00030540,0.3054,-41.23194036,13,7,228,1.4e-05,24.000000,6.000000,1.899940,0.000000,1.899940,1.899940,108.000000,36.000000,1.153981,0.000000,1093.537184,164.613976,81.759594,81.759594,81.759594,67.079443,67.079443,11.822300,8.662892,8.662892,8.662892,6.814006,6.814006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fe_co5__axial_fe_c__-0.06,fe_co5,candidate,usable_with_caution,0.1.0,-629.6773419774,-8567.196681447052,-0.0000491157,-0.00066825,-0.6683,-57.24339473,11,10,232,0.000129,26.000000,5.000000,1.801258,0.001009,1.800395,1.802493,107.999727,27.494740,1.154459,0.001398,1300.656040,150.661309,81.059135,78.073542,78.071156,65.119182,11.155124,8.501266,8.258355,8.258119,6.306159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fe_co5__eq_angle_perturb_deg__-6,fe_co5,candidate,usable_with_caution,0.1.0,-629.6772907578,-8567.195984568893,0.0000021039,0.00002863,0.0286,-57.24339007,11,35,625,0.000159,26.000000,5.000000,1.801249,0.001021,1.800328,1.802497,107.989938,27.469156,1.154467,0.001402,1300.656333,150.660994,81.059089,78.101479,78.042240,65.119002,11.155419,8.501355,8.261574,8.255581,6.306322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fe_co5__eq_fe_c__+0.06,fe_co5,candidate,usable_with_caution,0.1.0,-629.6772928578,-8567.196013140849,0.0000000039,0.00000005,0.0001,-57.24339026,11,9,224,4.1e-05,26.000000,5.000000,1.801243,0.001029,1.800392,1.802503,107.999517,27.494190,1.154460,0.001399,1300.656803,150.661208,81.059251,78.072177,78.071825,65.119083,11.155151,8.501247,8.258423,8.258083,6.306137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ferrocene__cc_bond__-0.03,ferrocene,candidate,usable_with_caution,0.1.0,-525.3618267778,-7147.911793674279,0.0000174620,0.00023758,0.2376,-25.01722985,21,14,327,0.000164,26.000000,10.000000,2.043797,0.000026,2.043770,2.043829,98.800057,43.166710,,,1296.705181,117.488005,69.812271,30.756430,30.755506,25.119271,25.118397,6.909642,6.909586,6.363138,6.363048,-0.773055,-0.773052,-0.758794,-0.758791,-0.341782,-0.341760,-0.277287,-0.277261,-0.178291,0.006037
ferrocene__fe_cp_dist__-0.05,ferrocene,candidate,usable_with_caution,0.1.0,-525.3618442397,-7147.912031255531,0.0000000001,0.00000000,0.0000,-25.01723068,21,15,308,3.5e-05,26.000000,10.000000,2.043713,0.000023,2.043690,2.043750,98.799987,43.164310,,,1296.709291,117.485182,69.808033,30.756929,30.756376,25.118681,25.118158,6.910172,6.910129,6.363532,6.363383,-0.772953,-0.772952,-0.758690,-0.758686,-0.341737,-0.341731,-0.277242,-0.277235,-0.178261,0.006060
ferrocene__ring2_rotation_deg__+36,ferrocene,candidate,usable_with_caution,0.1.0,-525.3587809538,-7147.870353127627,0.0030632860,0.04167813,41.6781,-25.01708481,21,15,287,0.000211,26.000000,10.000000,2.047368,0.000041,2.047335,2.047447,100.000000,45.433321,,,1296.529767,117.587437,69.966565,30.725906,30.724167,25.140807,25.139490,6.842453,6.842213,6.402297,6.402146,-0.769941,-0.769912,-0.763937,-0.763909,-0.339087,-0.339059,-0.279690,-0.279658,-0.176802,0.005185
ni_co4__co_dist__-0.04,ni_co4,candidate,usable_with_caution,0.1.0,-583.5690913498,-7939.861972969831,0.0000247077,0.00033617,0.3362,-64.84101015,9,8,265,0.000123,28.000000,4.000000,1.811870,0.000000,1.811870,1.811870,109.471221,0.000000,1.150364,0.000000,1528.493824,134.393837,77.016014,77.016014,77.016014,10.126755,7.961077,7.961077,7.961077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ni_co4__mc_dist__+0.06,ni_co4,candidate,usable_with_caution,0.1.0,-583.5690972193,-7939.862052828447,0.0000188382,0.00025631,0.2563,-64.84101080,9,8,310,1.5e-05,28.000000,4.000000,1.811862,0.000000,1.811862,1.811862,109.471221,0.000000,1.150353,0.000000,1528.494297,134.394168,77.016199,77.016199,77.016199,10.126385,7.960747,7.960747,7.960747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ni_co4__tetra_angle_perturb_deg__-6,ni_co4,candidate,usable_with_caution,0.1.0,-583.5691234686,-7939.862409968367,-0.0000074111,-0.00010083,-0.1008,-64.84101372,9,38,772,0.000132,28.000000,4.000000,1.811772,0.000055,1.811678,1.811819,109.471207,0.040068,1.150358,0.000005,1528.497702,134.393647,77.031115,77.011144,77.003452,10.126467,7.961644,7.960551,7.959966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
