material_id,qe_input_path,qe_output_path,converged,job_done,scf_iterations,final_energy_ry,energy_ev,max_force,pressure_kbar,wall_time,failure_reason,ecutwfc,ecutrho,kpoints,smearing,mixing_beta,pseudo_family,pseudopotentials,calculation_hash
h2_r0p620000,outputs/qe_runs/h2_r0p620000_pid237608_attempt1/espresso.pwi,outputs/qe_runs/h2_r0p620000_pid237608_attempt1/espresso.pwo,True,True,7,-2.30394668,-31.34679149982086,0.38896,2.31,6.65s WALL,,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",2384c43936d0fa571254a3189cf71a594a2fbcc0c6d7a40044b4dbe2444e3d7b
h2_r0p774544,outputs/qe_runs/h2_r0p774544_pid237717_attempt1/espresso.pwi,outputs/qe_runs/h2_r0p774544_pid237717_attempt1/espresso.pwo,False,False,,,,,,,job_not_completed,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",52fe88263678a8ed397e3c28e9997dcdec2b3f99a76ef2b999f09fba4be4c03e
h2_r0p774544,outputs/qe_runs/h2_r0p774544_pid237717_attempt2/espresso.pwi,outputs/qe_runs/h2_r0p774544_pid237717_attempt2/espresso.pwo,False,False,,,,,,,job_not_completed,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",52fe88263678a8ed397e3c28e9997dcdec2b3f99a76ef2b999f09fba4be4c03e
h2_r0p774544,outputs/qe_runs/h2_r0p774544_pid237717_attempt3/espresso.pwi,outputs/qe_runs/h2_r0p774544_pid237717_attempt3/espresso.pwo,False,False,,,,,,,job_not_completed,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",52fe88263678a8ed397e3c28e9997dcdec2b3f99a76ef2b999f09fba4be4c03e
h2_r0p900000,outputs/qe_runs/h2_r0p900000_pid237608_attempt1/espresso.pwi,outputs/qe_runs/h2_r0p900000_pid237608_attempt1/espresso.pwo,True,True,7,-2.31202217,-31.456664138578663,0.181994,-1.61,6.58s WALL,,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",4c0eae1e82be9550b503d4c538487e052befd870b29b02795c4fcb197a832d0a
h2_r1p300000,outputs/qe_runs/h2_r1p300000_pid237608_attempt1/espresso.pwi,outputs/qe_runs/h2_r1p300000_pid237608_attempt1/espresso.pwo,True,True,8,-2.18303002,-29.70163653040345,0.250858,-3.18,7.11s WALL,,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",5ab6e1c33216663fd9db0651d5262ca26a6ea83d6f22e8c5cd175d00d54732a0
h2_r1p984848,outputs/qe_runs/h2_r1p984848_pid237664_attempt1/espresso.pwi,outputs/qe_runs/h2_r1p984848_pid237664_attempt1/espresso.pwo,False,False,7,-2.00001979,-27.211655502654903,,,,job_not_completed,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",7c5e58e5250b459bde66c0ae47382e164699303c1aa6f4efc5c600480f96248a
h2_r1p984848,outputs/qe_runs/h2_r1p984848_pid237728_attempt1/espresso.pwi,outputs/qe_runs/h2_r1p984848_pid237728_attempt1/espresso.pwo,False,False,,,,,,,job_not_completed,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",dea47c04423689b20527dd8dd4f247fd9f66a882318cdfff7ec0f06460a80c87
h2_r1p984848,outputs/qe_runs/h2_r1p984848_pid237728_attempt2/espresso.pwi,outputs/qe_runs/h2_r1p984848_pid237728_attempt2/espresso.pwo,False,False,,,,,,,job_not_completed,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",dea47c04423689b20527dd8dd4f247fd9f66a882318cdfff7ec0f06460a80c87
h2_r1p984848,outputs/qe_runs/h2_r1p984848_pid237728_attempt3/espresso.pwi,outputs/qe_runs/h2_r1p984848_pid237728_attempt3/espresso.pwo,False,False,,,,,,,job_not_completed,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""H"":""H.pbe-rrkjus_psl.1.0.0.UPF""}",dea47c04423689b20527dd8dd4f247fd9f66a882318cdfff7ec0f06460a80c87
