candidate_id,system_id,parent_structure,perturbation_parameter,perturbation_direction,var_label,perturbation_family,expected_physical_effect,magnitude,magnitude_bucket,audit_status,rejection_reasons,is_duplicate_of,selected_as_representative,selection_reason
ferrocene__fe_cp_dist__-0.05,ferrocene,ferrocene_initial,fe_cp_centroid_distance_angstrom,negative,fe_cp_centroid_distance_angstrom,Fe-Cp stretch,Changes Fe-ring distance; weakens/strengthens overall Fe-Cp bonding.,-0.05,large,accepted,[],,True,"representative of Fe-Cp stretch family (negative direction, largest accepted magnitude in this slot)"
ferrocene__fe_cp_dist__-0.02,ferrocene,ferrocene_initial,fe_cp_centroid_distance_angstrom,negative,fe_cp_centroid_distance_angstrom,Fe-Cp stretch,Changes Fe-ring distance; weakens/strengthens overall Fe-Cp bonding.,-0.02,small,accepted,[],,False,not selected: another candidate in Fe-Cp stretch was preferred for this system/sign slot
ferrocene__fe_cp_dist__+0.02,ferrocene,ferrocene_initial,fe_cp_centroid_distance_angstrom,positive,fe_cp_centroid_distance_angstrom,Fe-Cp stretch,Changes Fe-ring distance; weakens/strengthens overall Fe-Cp bonding.,0.02,small,accepted,[],,False,not selected: another candidate in Fe-Cp stretch was preferred for this system/sign slot
ferrocene__fe_cp_dist__+0.05,ferrocene,ferrocene_initial,fe_cp_centroid_distance_angstrom,positive,fe_cp_centroid_distance_angstrom,Fe-Cp stretch,Changes Fe-ring distance; weakens/strengthens overall Fe-Cp bonding.,0.05,large,accepted,[],,False,not selected: another candidate in Fe-Cp stretch was preferred for this system/sign slot
ferrocene__ring2_rotation_deg__+9,ferrocene,ferrocene_initial,cp_ring_rotation_angle_degree,positive,cp_ring_rotation_angle_degree,Cp ring rotation,Rotates one Cp ring toward staggered conformation; tests rotational/conformational flexibility.,9.0,small,accepted,[],,False,not selected: another candidate in Cp ring rotation was preferred for this system/sign slot
ferrocene__ring2_rotation_deg__+18,ferrocene,ferrocene_initial,cp_ring_rotation_angle_degree,positive,cp_ring_rotation_angle_degree,Cp ring rotation,Rotates one Cp ring toward staggered conformation; tests rotational/conformational flexibility.,18.0,large,accepted,[],,False,not selected: another candidate in Cp ring rotation was preferred for this system/sign slot
ferrocene__ring2_rotation_deg__+27,ferrocene,ferrocene_initial,cp_ring_rotation_angle_degree,positive,cp_ring_rotation_angle_degree,Cp ring rotation,Rotates one Cp ring toward staggered conformation; tests rotational/conformational flexibility.,27.0,large,accepted,[],,False,not selected: another candidate in Cp ring rotation was preferred for this system/sign slot
ferrocene__ring2_rotation_deg__+36,ferrocene,ferrocene_initial,cp_ring_rotation_angle_degree,positive,cp_ring_rotation_angle_degree,Cp ring rotation,Rotates one Cp ring toward staggered conformation; tests rotational/conformational flexibility.,36.0,large,accepted,[],,True,"representative of Cp ring rotation family (positive direction, largest accepted magnitude in this slot)"
ferrocene__cc_bond__-0.03,ferrocene,ferrocene_initial,cp_ring_radius_perturbation_angstrom,negative,cp_ring_radius_perturbation_angstrom,Cp ring radius (C-C stretch),Expands/contracts the ring; probes ring strain and aromaticity-adjacent bonding.,-0.03,small,accepted,[],,True,"representative of Cp ring radius (C-C stretch) family (negative direction, largest accepted magnitude in this slot)"
ferrocene__cc_bond__-0.015,ferrocene,ferrocene_initial,cp_ring_radius_perturbation_angstrom,negative,cp_ring_radius_perturbation_angstrom,Cp ring radius (C-C stretch),Expands/contracts the ring; probes ring strain and aromaticity-adjacent bonding.,-0.015,small,accepted,[],,False,not selected: another candidate in Cp ring radius (C-C stretch) was preferred for this system/sign slot
ferrocene__cc_bond__+0.015,ferrocene,ferrocene_initial,cp_ring_radius_perturbation_angstrom,positive,cp_ring_radius_perturbation_angstrom,Cp ring radius (C-C stretch),Expands/contracts the ring; probes ring strain and aromaticity-adjacent bonding.,0.015,small,accepted,[],,False,not selected: another candidate in Cp ring radius (C-C stretch) was preferred for this system/sign slot
ferrocene__cc_bond__+0.03,ferrocene,ferrocene_initial,cp_ring_radius_perturbation_angstrom,positive,cp_ring_radius_perturbation_angstrom,Cp ring radius (C-C stretch),Expands/contracts the ring; probes ring strain and aromaticity-adjacent bonding.,0.03,small,accepted,[],,False,not selected: another candidate in Cp ring radius (C-C stretch) was preferred for this system/sign slot
ni_co4__mc_dist__-0.06,ni_co4,ni_co4_initial,ni_c_distance_angstrom,negative,ni_c_distance_angstrom,Metal-ligand stretch,Direct Ni-C bond stretch/compression; probes the primary bonding interaction.,-0.06,large,accepted,[],,False,not selected: another candidate in Metal-ligand stretch was preferred for this system/sign slot
ni_co4__mc_dist__-0.03,ni_co4,ni_co4_initial,ni_c_distance_angstrom,negative,ni_c_distance_angstrom,Metal-ligand stretch,Direct Ni-C bond stretch/compression; probes the primary bonding interaction.,-0.03,small,accepted,[],,False,not selected: another candidate in Metal-ligand stretch was preferred for this system/sign slot
ni_co4__mc_dist__+0.03,ni_co4,ni_co4_initial,ni_c_distance_angstrom,positive,ni_c_distance_angstrom,Metal-ligand stretch,Direct Ni-C bond stretch/compression; probes the primary bonding interaction.,0.03,small,accepted,[],,False,not selected: another candidate in Metal-ligand stretch was preferred for this system/sign slot
ni_co4__mc_dist__+0.06,ni_co4,ni_co4_initial,ni_c_distance_angstrom,positive,ni_c_distance_angstrom,Metal-ligand stretch,Direct Ni-C bond stretch/compression; probes the primary bonding interaction.,0.06,large,accepted,[],,True,"representative of Metal-ligand stretch family (positive direction, largest accepted magnitude in this slot)"
ni_co4__co_dist__-0.04,ni_co4,ni_co4_initial,c_o_distance_angstrom,negative,c_o_distance_angstrom,Carbonyl C-O stretch,Stretches/compresses C-O; probes M->CO pi-backdonation strength indirectly.,-0.04,large,accepted,[],,True,"representative of Carbonyl C-O stretch family (negative direction, largest accepted magnitude in this slot)"
ni_co4__co_dist__-0.02,ni_co4,ni_co4_initial,c_o_distance_angstrom,negative,c_o_distance_angstrom,Carbonyl C-O stretch,Stretches/compresses C-O; probes M->CO pi-backdonation strength indirectly.,-0.02,small,accepted,[],,False,not selected: another candidate in Carbonyl C-O stretch was preferred for this system/sign slot
ni_co4__co_dist__+0.02,ni_co4,ni_co4_initial,c_o_distance_angstrom,positive,c_o_distance_angstrom,Carbonyl C-O stretch,Stretches/compresses C-O; probes M->CO pi-backdonation strength indirectly.,0.02,small,accepted,[],,False,not selected: another candidate in Carbonyl C-O stretch was preferred for this system/sign slot
ni_co4__co_dist__+0.04,ni_co4,ni_co4_initial,c_o_distance_angstrom,positive,c_o_distance_angstrom,Carbonyl C-O stretch,Stretches/compresses C-O; probes M->CO pi-backdonation strength indirectly.,0.04,large,accepted,[],,False,not selected: another candidate in Carbonyl C-O stretch was preferred for this system/sign slot
ni_co4__tetra_angle_perturb_deg__-6,ni_co4,ni_co4_initial,tetrahedral_angle_perturbation_degree,negative,tetrahedral_angle_perturbation_degree,Tetrahedral angle distortion,Breaks ideal Td angle locally; probes angular bending stiffness.,-6.0,small,accepted,[],,True,"representative of Tetrahedral angle distortion family (negative direction, largest accepted magnitude in this slot)"
