parser_version,system_id,input_filename,output_filename,error_filename,job_done,convergence_status,final_energy_ry,final_energy_ev,ionic_steps,scf_iterations_total,max_force_ry_per_bohr,wall_time_sec,final_lattice_angstrom,final_positions_angstrom,warnings,failures
0.1.0,cr_co6__axial_stretch__-0.05,qe/inputs/relax/cr_co6__axial_stretch__-0.05.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\cr_co6__axial_stretch__-0.05\cr_co6__axial_stretch__-0.05.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\cr_co6__axial_stretch__-0.05\cr_co6__axial_stretch__-0.05.relax.err,True,converged,-536.0152471421,-7292.858961861199,11,232,0.000107,5820.0,"[[18.17799965, 0.0, 0.0], [0.0, 18.17799965, 0.0], [0.0, 0.0, 18.17799965]]","[{""symbol"": ""Cr"", ""x"": 9.089, ""y"": 9.089, ""z"": 9.089}, {""symbol"": ""C"", ""x"": 10.98913693, ""y"": 9.089, ""z"": 9.089}, {""symbol"": ""O"", ""x"": 12.1431224, ""y"": 9.089, ""z"": 9.089}, {""symbol"": ""C"", ""x"": 7.18886307, ""y"": 9.089, ""z"": 9.089}, {""symbol"": ""O"", ""x"": 6.0348776, ""y"": 9.089, ""z"": 9.089}, {""symbol"": ""C"", ""x"": 9.089, ""y"": 10.98913693, ""z"": 9.089}, {""symbol"": ""O"", ""x"": 9.089, ""y"": 12.1431224, ""z"": 9.089}, {""symbol"": ""C"", ""x"": 9.089, ""y"": 7.18886307, ""z"": 9.089}, {""symbol"": ""O"", ""x"": 9.089, ""y"": 6.0348776, ""z"": 9.089}, {""symbol"": ""C"", ""x"": 9.089, ""y"": 9.089, ""z"": 10.98912467}, {""symbol"": ""O"", ""x"": 9.089, ""y"": 9.089, ""z"": 12.14311049}, {""symbol"": ""C"", ""x"": 9.089, ""y"": 9.089, ""z"": 7.18887533}, {""symbol"": ""O"", ""x"": 9.089, ""y"": 9.089, ""z"": 6.03488951}]","[""negative_rho observed (258 occurrences, max up=0.02021)""]",[]
0.1.0,cr_co6__co_dist__-0.04,qe/inputs/relax/cr_co6__co_dist__-0.04.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\cr_co6__co_dist__-0.04\cr_co6__co_dist__-0.04.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\cr_co6__co_dist__-0.04\cr_co6__co_dist__-0.04.relax.err,True,converged,-536.0152176528,-7292.858560638832,7,188,0.00015,4620.0,"[[18.0979997, 0.0, 0.0], [0.0, 18.0979997, 0.0], [0.0, 0.0, 18.0979997]]","[{""symbol"": ""Cr"", ""x"": 9.049, ""y"": 9.049, ""z"": 9.049}, {""symbol"": ""C"", ""x"": 10.94917759, ""y"": 9.049, ""z"": 9.049}, {""symbol"": ""O"", ""x"": 12.10314427, ""y"": 9.049, ""z"": 9.049}, {""symbol"": ""C"", ""x"": 7.14882241, ""y"": 9.049, ""z"": 9.049}, {""symbol"": ""O"", ""x"": 5.99485573, ""y"": 9.049, ""z"": 9.049}, {""symbol"": ""C"", ""x"": 9.049, ""y"": 10.94917759, ""z"": 9.049}, {""symbol"": ""O"", ""x"": 9.049, ""y"": 12.10314427, ""z"": 9.049}, {""symbol"": ""C"", ""x"": 9.049, ""y"": 7.14882241, ""z"": 9.049}, {""symbol"": ""O"", ""x"": 9.049, ""y"": 5.99485573, ""z"": 9.049}, {""symbol"": ""C"", ""x"": 9.049, ""y"": 9.049, ""z"": 10.94917759}, {""symbol"": ""O"", ""x"": 9.049, ""y"": 9.049, ""z"": 12.10314427}, {""symbol"": ""C"", ""x"": 9.049, ""y"": 9.049, ""z"": 7.14882241}, {""symbol"": ""O"", ""x"": 9.049, ""y"": 9.049, ""z"": 5.99485573}]","[""negative_rho observed (206 occurrences, max up=0.01872)""]",[]
0.1.0,cr_co6__mc_dist__+0.06,qe/inputs/relax/cr_co6__mc_dist__+0.06.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\cr_co6__mc_dist__+0.06\cr_co6__mc_dist__+0.06.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\cr_co6__mc_dist__+0.06\cr_co6__mc_dist__+0.06.relax.err,True,converged,-536.0152246952,-7292.858656455566,7,228,1.4e-05,5700.0,"[[18.29800011, 0.0, 0.0], [0.0, 18.29800011, 0.0], [0.0, 0.0, 18.29800011]]","[{""symbol"": ""Cr"", ""x"": 9.149, ""y"": 9.149, ""z"": 9.149}, {""symbol"": ""C"", ""x"": 11.04894033, ""y"": 9.149, ""z"": 9.149}, {""symbol"": ""O"", ""x"": 12.20292121, ""y"": 9.149, ""z"": 9.149}, {""symbol"": ""C"", ""x"": 7.24905967, ""y"": 9.149, ""z"": 9.149}, {""symbol"": ""O"", ""x"": 6.09507879, ""y"": 9.149, ""z"": 9.149}, {""symbol"": ""C"", ""x"": 9.149, ""y"": 11.04894033, ""z"": 9.149}, {""symbol"": ""O"", ""x"": 9.149, ""y"": 12.20292121, ""z"": 9.149}, {""symbol"": ""C"", ""x"": 9.149, ""y"": 7.24905967, ""z"": 9.149}, {""symbol"": ""O"", ""x"": 9.149, ""y"": 6.09507879, ""z"": 9.149}, {""symbol"": ""C"", ""x"": 9.149, ""y"": 9.149, ""z"": 11.04894033}, {""symbol"": ""O"", ""x"": 9.149, ""y"": 9.149, ""z"": 12.20292121}, {""symbol"": ""C"", ""x"": 9.149, ""y"": 9.149, ""z"": 7.24905967}, {""symbol"": ""O"", ""x"": 9.149, ""y"": 9.149, ""z"": 6.09507879}]","[""negative_rho observed (246 occurrences, max up=0.02111)""]",[]
0.1.0,fe_co5__axial_fe_c__-0.06,qe/inputs/relax/fe_co5__axial_fe_c__-0.06.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\fe_co5__axial_fe_c__-0.06\fe_co5__axial_fe_c__-0.06.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\fe_co5__axial_fe_c__-0.06\fe_co5__axial_fe_c__-0.06.relax.err,True,converged,-629.6773419774,-8567.196681447052,10,232,0.000129,5160.0,"[[17.78000018, 0.0, 0.0], [0.0, 17.78000018, 0.0], [0.0, 0.0, 17.78000018]]","[{""symbol"": ""Fe"", ""x"": 8.88984801, ""y"": 8.89, ""z"": 8.89}, {""symbol"": ""C"", ""x"": 8.88989095, ""y"": 8.89, ""z"": 10.69249251}, {""symbol"": ""O"", ""x"": 8.890027, ""y"": 8.89, ""z"": 11.84523929}, {""symbol"": ""C"", ""x"": 8.88989095, ""y"": 8.89, ""z"": 7.08750749}, {""symbol"": ""O"", ""x"": 8.890027, ""y"": 8.89, ""z"": 5.93476071}, {""symbol"": ""C"", ""x"": 10.69036286, ""y"": 8.89, ""z"": 8.89}, {""symbol"": ""O"", ""x"": 11.84597203, ""y"": 8.89, ""z"": 8.89}, {""symbol"": ""C"", ""x"": 7.98991578, ""y"": 10.44934047, ""z"": 8.89}, {""symbol"": ""O"", ""x"": 7.41207482, ""y"": 11.45008988, ""z"": 8.89}, {""symbol"": ""C"", ""x"": 7.98991578, ""y"": 7.33065953, ""z"": 8.89}, {""symbol"": ""O"", ""x"": 7.41207482, ""y"": 6.32991012, ""z"": 8.89}]","[""negative_rho observed (256 occurrences, max up=0.0259)""]",[]
0.1.0,fe_co5__eq_angle_perturb_deg__-6,qe/inputs/relax/fe_co5__eq_angle_perturb_deg__-6.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\fe_co5__eq_angle_perturb_deg__-6\fe_co5__eq_angle_perturb_deg__-6.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\fe_co5__eq_angle_perturb_deg__-6\fe_co5__eq_angle_perturb_deg__-6.relax.err,True,converged,-629.6772907578,-8567.195984568893,35,625,0.000159,14640.0,"[[17.90000011, 0.0, 0.0], [0.0, 17.90000011, 0.0], [0.0, 0.0, 17.90000011]]","[{""symbol"": ""Fe"", ""x"": 8.95088109, ""y"": 8.95023849, ""z"": 8.95}, {""symbol"": ""C"", ""x"": 8.95246748, ""y"": 8.95031802, ""z"": 10.75249631}, {""symbol"": ""O"", ""x"": 8.95382279, ""y"": 8.95028776, ""z"": 11.90524502}, {""symbol"": ""C"", ""x"": 8.95246748, ""y"": 8.95031802, ""z"": 7.14750369}, {""symbol"": ""O"", ""x"": 8.95382279, ""y"": 8.95028776, ""z"": 5.99475498}, {""symbol"": ""C"", ""x"": 10.75030164, ""y"": 8.88678346, ""z"": 8.95}, {""symbol"": ""O"", ""x"": 11.90522406, ""y"": 8.84643734, ""z"": 8.95}, {""symbol"": ""C"", ""x"": 8.10204294, ""y"": 10.53789594, ""z"": 8.95}, {""symbol"": ""O"", ""x"": 7.55516763, ""y"": 11.555913, ""z"": 8.95}, {""symbol"": ""C"", ""x"": 7.99418081, ""y"": 7.42507859, ""z"": 8.95}, {""symbol"": ""O"", ""x"": 7.37962128, ""y"": 6.44644162, ""z"": 8.95}]","[""negative_rho observed (703 occurrences, max up=0.02744)""]",[]
0.1.0,fe_co5__eq_fe_c__+0.06,qe/inputs/relax/fe_co5__eq_fe_c__+0.06.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\fe_co5__eq_fe_c__+0.06\fe_co5__eq_fe_c__+0.06.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\fe_co5__eq_fe_c__+0.06\fe_co5__eq_fe_c__+0.06.relax.err,True,converged,-629.6772928578,-8567.196013140849,9,224,4.1e-05,5040.0,"[[17.90000011, 0.0, 0.0], [0.0, 17.90000011, 0.0], [0.0, 0.0, 17.90000011]]","[{""symbol"": ""Fe"", ""x"": 8.95002129, ""y"": 8.95, ""z"": 8.95}, {""symbol"": ""C"", ""x"": 8.94994534, ""y"": 8.95, ""z"": 10.7525034}, {""symbol"": ""O"", ""x"": 8.94994551, ""y"": 8.95, ""z"": 11.90524906}, {""symbol"": ""C"", ""x"": 8.94994534, ""y"": 8.95, ""z"": 7.1474966}, {""symbol"": ""O"", ""x"": 8.94994551, ""y"": 8.95, ""z"": 5.99475094}, {""symbol"": ""C"", ""x"": 10.75044533, ""y"": 8.95, ""z"": 8.95}, {""symbol"": ""O"", ""x"": 11.9060411, ""y"": 8.95, ""z"": 8.95}, {""symbol"": ""C"", ""x"": 8.04987696, ""y"": 10.50921467, ""z"": 8.95}, {""symbol"": ""O"", ""x"": 7.47197832, ""y"": 11.50994281, ""z"": 8.95}, {""symbol"": ""C"", ""x"": 8.04987696, ""y"": 7.39078533, ""z"": 8.95}, {""symbol"": ""O"", ""x"": 7.47197832, ""y"": 6.39005719, ""z"": 8.95}]","[""negative_rho observed (246 occurrences, max up=0.02557)""]",[]
0.1.0,ferrocene__cc_bond__-0.03,qe/inputs/relax/ferrocene__cc_bond__-0.03.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\ferrocene__cc_bond__-0.03\ferrocene__cc_bond__-0.03.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\ferrocene__cc_bond__-0.03\ferrocene__cc_bond__-0.03.relax.err,True,converged,-525.3618267778,-7147.911793674279,14,327,0.000164,5100.0,"[[16.29000967, 0.0, 0.0], [0.0, 16.29000967, 0.0], [0.0, 0.0, 16.29000967]]","[{""symbol"": ""Fe"", ""x"": 8.14520576, ""y"": 8.14500489, ""z"": 8.14500489}, {""symbol"": ""C"", ""x"": 9.36482649, ""y"": 8.14500489, ""z"": 9.78498031}, {""symbol"": ""C"", ""x"": 8.52193248, ""y"": 9.30509969, ""z"": 9.78491028}, {""symbol"": ""C"", ""x"": 7.158169, ""y"": 8.86200458, ""z"": 9.78479366}, {""symbol"": ""C"", ""x"": 7.158169, ""y"": 7.4280052, ""z"": 9.78479366}, {""symbol"": ""C"", ""x"": 8.52193248, ""y"": 6.98491008, ""z"": 9.78491028}, {""symbol"": ""H"", ""x"": 10.45105956, ""y"": 8.14500489, ""z"": 9.76854686}, {""symbol"": ""H"", ""x"": 8.85756004, ""y"": 10.33819312, ""z"": 9.76840496}, {""symbol"": ""H"", ""x"": 6.27936967, ""y"": 9.50044854, ""z"": 9.76818614}, {""symbol"": ""H"", ""x"": 6.27936967, ""y"": 6.78956123, ""z"": 9.76818614}, {""symbol"": ""H"", ""x"": 8.85756004, ""y"": 5.95181665, ""z"": 9.76840496}, {""symbol"": ""C"", ""x"": 9.36482649, ""y"": 8.14500489, ""z"": 6.50502947}, {""symbol"": ""C"", ""x"": 8.52193248, ""y"": 9.30509969, ""z"": 6.5050995}, {""symbol"": ""C"", ""x"": 7.158169, ""y"": 8.86200458, ""z"": 6.50521612}, {""symbol"": ""C"", ""x"": 7.158169, ""y"": 7.4280052, ""z"": 6.50521612}, {""symbol"": ""C"", ""x"": 8.52193248, ""y"": 6.98491008, ""z"": 6.5050995}, {""symbol"": ""H"", ""x"": 10.45105956, ""y"": 8.14500489, ""z"": 6.52146292}, {""symbol"": ""H"", ""x"": 8.85756004, ""y"": 10.33819312, ""z"": 6.52160482}, {""symbol"": ""H"", ""x"": 6.27936967, ""y"": 9.50044854, ""z"": 6.52182364}, {""symbol"": ""H"", ""x"": 6.27936967, ""y"": 6.78956123, ""z"": 6.52182364}, {""symbol"": ""H"", ""x"": 8.85756004, ""y"": 5.95181665, ""z"": 6.52160482}]","[""negative_rho observed (359 occurrences, max up=0.1088)""]",[]
0.1.0,ferrocene__fe_cp_dist__-0.05,qe/inputs/relax/ferrocene__fe_cp_dist__-0.05.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\ferrocene__fe_cp_dist__-0.05\ferrocene__fe_cp_dist__-0.05.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\ferrocene__fe_cp_dist__-0.05\ferrocene__fe_cp_dist__-0.05.relax.err,True,converged,-525.3618442397,-7147.912031255531,15,308,3.5e-05,5100.0,"[[16.33855057, 0.0, 0.0], [0.0, 16.33855057, 0.0], [0.0, 0.0, 16.33855057]]","[{""symbol"": ""Fe"", ""x"": 8.16911464, ""y"": 8.16927539, ""z"": 8.16927539}, {""symbol"": ""C"", ""x"": 9.38910886, ""y"": 8.16927539, ""z"": 9.80894919}, {""symbol"": ""C"", ""x"": 8.54621359, ""y"": 9.32939206, ""z"": 9.80900267}, {""symbol"": ""C"", ""x"": 7.18241624, ""y"": 8.886283, ""z"": 9.80909041}, {""symbol"": ""C"", ""x"": 7.18241624, ""y"": 7.45226778, ""z"": 9.80909041}, {""symbol"": ""C"", ""x"": 8.54621359, ""y"": 7.00915873, ""z"": 9.80900267}, {""symbol"": ""H"", ""x"": 10.4753725, ""y"": 8.16927539, ""z"": 9.79248796}, {""symbol"": ""H"", ""x"": 8.88192232, ""y"": 10.36247727, ""z"": 9.79258762}, {""symbol"": ""H"", ""x"": 6.30362434, ""y"": 9.52479054, ""z"": 9.79276283}, {""symbol"": ""H"", ""x"": 6.30362434, ""y"": 6.81376025, ""z"": 9.79276283}, {""symbol"": ""H"", ""x"": 8.88192232, ""y"": 5.97607352, ""z"": 9.79258762}, {""symbol"": ""C"", ""x"": 9.38910886, ""y"": 8.16927539, ""z"": 6.52960159}, {""symbol"": ""C"", ""x"": 8.54621359, ""y"": 9.32939206, ""z"": 6.52954811}, {""symbol"": ""C"", ""x"": 7.18241624, ""y"": 8.886283, ""z"": 6.52946037}, {""symbol"": ""C"", ""x"": 7.18241624, ""y"": 7.45226778, ""z"": 6.52946037}, {""symbol"": ""C"", ""x"": 8.54621359, ""y"": 7.00915873, ""z"": 6.52954811}, {""symbol"": ""H"", ""x"": 10.4753725, ""y"": 8.16927539, ""z"": 6.54606282}, {""symbol"": ""H"", ""x"": 8.88192232, ""y"": 10.36247727, ""z"": 6.54596316}, {""symbol"": ""H"", ""x"": 6.30362434, ""y"": 9.52479054, ""z"": 6.54578795}, {""symbol"": ""H"", ""x"": 6.30362434, ""y"": 6.81376025, ""z"": 6.54578795}, {""symbol"": ""H"", ""x"": 8.88192232, ""y"": 5.97607352, ""z"": 6.54596316}]","[""negative_rho observed (342 occurrences, max up=0.08402)""]",[]
0.1.0,ferrocene__ring2_rotation_deg__+36,qe/inputs/relax/ferrocene__ring2_rotation_deg__+36.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\ferrocene__ring2_rotation_deg__+36\ferrocene__ring2_rotation_deg__+36.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\ferrocene__ring2_rotation_deg__+36\ferrocene__ring2_rotation_deg__+36.relax.err,True,converged,-525.3587809538,-7147.870353127627,15,287,0.000211,4860.0,"[[16.56182208, 0.0, 0.0], [0.0, 16.56182208, 0.0], [0.0, 0.0, 16.56182208]]","[{""symbol"": ""Fe"", ""x"": 8.28091113, ""y"": 8.28091113, ""z"": 8.28091113}, {""symbol"": ""C"", ""x"": 9.50038817, ""y"": 8.28091113, ""z"": 9.92557373}, {""symbol"": ""C"", ""x"": 8.65789594, ""y"": 9.44041661, ""z"": 9.92563611}, {""symbol"": ""C"", ""x"": 7.29474258, ""y"": 8.99754571, ""z"": 9.92574761}, {""symbol"": ""C"", ""x"": 7.29474258, ""y"": 7.56427655, ""z"": 9.92574761}, {""symbol"": ""C"", ""x"": 8.65789594, ""y"": 7.12140565, ""z"": 9.92563611}, {""symbol"": ""H"", ""x"": 10.58659487, ""y"": 8.28091113, ""z"": 9.90452117}, {""symbol"": ""H"", ""x"": 8.99352492, ""y"": 10.47352339, ""z"": 9.90458626}, {""symbol"": ""H"", ""x"": 6.41596814, ""y"": 9.63602063, ""z"": 9.90468522}, {""symbol"": ""H"", ""x"": 6.41596814, ""y"": 6.92580164, ""z"": 9.90468522}, {""symbol"": ""H"", ""x"": 8.99352492, ""y"": 6.08829888, ""z"": 9.90458626}, {""symbol"": ""C"", ""x"": 9.26707969, ""y"": 8.99754571, ""z"": 6.63607465}, {""symbol"": ""C"", ""x"": 7.90392632, ""y"": 9.44041661, ""z"": 6.63618615}, {""symbol"": ""C"", ""x"": 7.06143409, ""y"": 8.28091113, ""z"": 6.63624853}, {""symbol"": ""C"", ""x"": 7.90392632, ""y"": 7.12140565, ""z"": 6.63618615}, {""symbol"": ""C"", ""x"": 9.26707969, ""y"": 7.56427655, ""z"": 6.63607465}, {""symbol"": ""H"", ""x"": 10.14585412, ""y"": 9.63602063, ""z"": 6.65713704}, {""symbol"": ""H"", ""x"": 7.56829734, ""y"": 10.47352339, ""z"": 6.657236}, {""symbol"": ""H"", ""x"": 5.97522739, ""y"": 8.28091113, ""z"": 6.65730109}, {""symbol"": ""H"", ""x"": 7.56829734, ""y"": 6.08829888, ""z"": 6.657236}, {""symbol"": ""H"", ""x"": 10.14585412, ""y"": 6.92580164, ""z"": 6.65713704}]","[""negative_rho observed (321 occurrences, max up=0.0922)""]",[]
0.1.0,ni_co4__co_dist__-0.04,qe/inputs/relax/ni_co4__co_dist__-0.04.in,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\ni_co4__co_dist__-0.04\ni_co4__co_dist__-0.04.relax.out,D:\Research\Dr.Kulik_MIT\runs\perturbation_relax\ni_co4__co_dist__-0.04\ni_co4__co_dist__-0.04.relax.err,True,converged,-583.5690913498,-7939.861972969831,8,265,0.000123,3348.21,"[[15.37749914, 0.0, 0.0], [0.0, 15.37749914, 0.0], [0.0, 0.0, 15.37749914]]","[{""symbol"": ""Ni"", ""x"": 7.68874954, ""y"": 7.68874954, ""z"": 7.68874954}, {""symbol"": ""C"", ""x"": 8.73483336, ""y"": 8.73483336, ""z"": 8.73483336}, {""symbol"": ""O"", ""x"": 9.39899628, ""y"": 9.39899628, ""z"": 9.39899628}, {""symbol"": ""C"", ""x"": 8.73483336, ""y"": 6.64266571, ""z"": 6.64266571}, {""symbol"": ""O"", ""x"": 9.39899628, ""y"": 5.97850279, ""z"": 5.97850279}, {""symbol"": ""C"", ""x"": 6.64266571, ""y"": 8.73483336, ""z"": 6.64266571}, {""symbol"": ""O"", ""x"": 5.97850279, ""y"": 9.39899628, ""z"": 5.97850279}, {""symbol"": ""C"", ""x"": 6.64266571, ""y"": 6.64266571, ""z"": 8.73483336}, {""symbol"": ""O"", ""x"": 5.97850279, ""y"": 5.97850279, ""z"": 9.39899628}]","[""negative_rho observed (285 occurrences, max up=0.1154)""]",[]
