candidate_id,complex_id,formula,charge,spin_setting,structure_path,generation_method,variables_json,notes
ferrocene__fe_cp_dist__-0.05,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__fe_cp_dist__-0.05.xyz,one_at_a_time_perturbation:fe_cp_centroid_distance_angstrom,"{""fe_cp_centroid_distance_angstrom"": 1.6099999999999999, ""delta_from_nominal"": -0.05}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
ferrocene__fe_cp_dist__-0.02,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__fe_cp_dist__-0.02.xyz,one_at_a_time_perturbation:fe_cp_centroid_distance_angstrom,"{""fe_cp_centroid_distance_angstrom"": 1.64, ""delta_from_nominal"": -0.02}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
ferrocene__fe_cp_dist__+0.02,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__fe_cp_dist__+0.02.xyz,one_at_a_time_perturbation:fe_cp_centroid_distance_angstrom,"{""fe_cp_centroid_distance_angstrom"": 1.68, ""delta_from_nominal"": 0.02}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
ferrocene__fe_cp_dist__+0.05,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__fe_cp_dist__+0.05.xyz,one_at_a_time_perturbation:fe_cp_centroid_distance_angstrom,"{""fe_cp_centroid_distance_angstrom"": 1.71, ""delta_from_nominal"": 0.05}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
ferrocene__ring2_rotation_deg__+9,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__ring2_rotation_deg__+9.xyz,one_at_a_time_perturbation:cp_ring_rotation_angle_degree,"{""cp_ring_rotation_angle_degree"": 9.0, ""delta_from_nominal"": 9.0}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
ferrocene__ring2_rotation_deg__+18,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__ring2_rotation_deg__+18.xyz,one_at_a_time_perturbation:cp_ring_rotation_angle_degree,"{""cp_ring_rotation_angle_degree"": 18.0, ""delta_from_nominal"": 18.0}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
ferrocene__ring2_rotation_deg__+27,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__ring2_rotation_deg__+27.xyz,one_at_a_time_perturbation:cp_ring_rotation_angle_degree,"{""cp_ring_rotation_angle_degree"": 27.0, ""delta_from_nominal"": 27.0}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
ferrocene__ring2_rotation_deg__+36,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__ring2_rotation_deg__+36.xyz,one_at_a_time_perturbation:cp_ring_rotation_angle_degree,"{""cp_ring_rotation_angle_degree"": 36.0, ""delta_from_nominal"": 36.0}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
ferrocene__cc_bond__-0.03,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__cc_bond__-0.03.xyz,one_at_a_time_perturbation:cp_ring_radius_perturbation_angstrom,"{""cp_ring_radius_perturbation_angstrom"": 1.3699999999999999, ""delta_from_nominal"": -0.03}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
ferrocene__cc_bond__-0.015,ferrocene,Fe(C5H5)2,0,closed_shell_phase1,D:\Research\Dr.Kulik_MIT\structures\generated_candidates\ferrocene__cc_bond__-0.015.xyz,one_at_a_time_perturbation:cp_ring_radius_perturbation_angstrom,"{""cp_ring_radius_perturbation_angstrom"": 1.385, ""delta_from_nominal"": -0.015}","AL exploration candidate, not relaxed - structure quality unknown until QE relax"
